,number,timepoint,type,sample.name,time_hrs,day,sequencing,well_MiGS,migs_name,notes,raw_reads,trimmed_reads
8,8,t1,ctrl,8_t1_ctrl,16,1,MGS,A1,RG-A1_S13,,9455242,9395649
9,9,t1,ctrl,9_t1_ctrl,16,1,MGS,A2,RG-A2_S14,,9412304,9313133
14,14,t2,ctrl,14_t2_ctrl,28,1,MGS,A5,RG-A5_S17,,10483745,10425139
15,15,t2,ctrl,15_t2_ctrl,28,1,MGS,A6,RG-A6_S18,,10011134,9936730
20,20,t3,ctrl,20_t3_ctrl,40,2,MGS,A9,RG-A9_S21,,12086266,12012787
21,21,t3,ctrl,21_t3_ctrl,40,2,MGS,A10,RG-A10_S22,,12400774,12306354
26,26,t4,ctrl,26_t4_ctrl,52,2,MGS,B1,RG-B1_S25,,11726663,11666223
27,27,t4,ctrl,27_t4_ctrl,52,2,MGS,B2,RG-B2_S26,,11547551,11470567
32,32,t5,ctrl,32_t5_ctrl,64,3,MGS,B5,RG-B5_S29,,10641584,10563210
33,33,t5,ctrl,33_t5_ctrl,64,3,MGS,B6,RG-B6_S30,,10249240,10153705
38,38,t6,ctrl,38_t6_ctrl,76,3,MGS,B9,RG-B9_S33,,12154080,12070927
39,39,t6,ctrl,39_t6_ctrl,76,3,MGS,B10,RG-B10_S34,,12084816,11993422
44,44,t7,ctrl,44_t7_ctrl,88,4,MGS,C1,RG-C1_S37,,12888482,12827017
45,45,t7,ctrl,45_t7_ctrl,88,4,MGS,C2,RG-C2_S38,,11379881,11297061
50,50,t8,ctrl,50_t8_ctrl,100,4,MGS,C5,RG-C5_S41,,9896074,9843918
51,51,t8,ctrl,51_t8_ctrl,100,4,MGS,C6,RG-C6_S42,,10684416,10608218
56,56,t9,ctrl,56_t9_ctrl,124,5,MGS,C9,RG-C9_S45,"t9 was at 7pm the last day, around 24 hrs after the last time point",10963499,10867516
57,57,t9,ctrl,57_t9_ctrl,124,5,MGS,C10,RG-C10_S46,"t9 was at 7pm the last day, around 24 hrs after the last time point",9438877,9375198
10,10,t1,vit,10_t1_vit,16,1,MGS,A3,RG-A3_S15,,10458484,10307914
11,11,t1,vit,11_t1_vit,16,1,MGS,A4,RG-A4_S16,,9238416,9124428
16,16,t2,vit,16_t2_vit,28,1,MGS,A7,RG-A7_S19,,9974875,9872332
17,17,t2,vit,17_t2_vit,28,1,MGS,A8,RG-A8_S20,,9277937,9197194
22,22,t3,vit,22_t3_vit,40,2,MGS,A11,RG-A11_S23,,10576257,10510238
23,23,t3,vit,23_t3_vit,40,2,MGS,A12,RG-A12_S24,,10326626,10254258
28,28,t4,vit,28_t4_vit,52,2,MGS,B3,RG-B3_S27,,10490844,10419950
29,29,t4,vit,29_t4_vit,52,2,MGS,B4,RG-B4_S28,,9846962,9747798
34,34,t5,vit,34_t5_vit,64,3,MGS,B7,RG-B7_S31,,11803034,11669137
35,35,t5,vit,35_t5_vit,64,3,MGS,B8,RG-B8_S32,,6489710,6417803
40,40,t6,vit,40_t6_vit,76,3,MGS,B11,RG-B11_S35,,11092703,11020672
41,41,t6,vit,41_t6_vit,76,3,MGS,B12,RG-B12_S36,,11159849,11054673
46,46,t7,vit,46_t7_vit,88,4,MGS,C3,RG-C3_S39,,10034762,9937834
47,47,t7,vit,47_t7_vit,88,4,MGS,C4,RG-C4_S40,,10937655,10852437
52,52,t8,vit,52_t8_vit,100,4,MGS,C7,RG-C7_S43,,11607274,11506772
53,53,t8,vit,53_t8_vit,100,4,MGS,C8,RG-C8_S44,,10652446,10558936
58,58,t9,vit,58_t9_vit,124,5,MGS,C11,RG-C11_S47,"t9 was at 7pm the last day, around 24 hrs after the last time point",8873919,8808461
59,59,t9,vit,59_t9_vit,124,5,MGS,C12,RG-C12_S48,"t9 was at 7pm the last day, around 24 hrs after the last time point",11808986,11734704